position,rank,name,lastName,uri,imageUri,worth,salary,managementAssets,government,title,pay,headquarters,state,age,source,industry,gender,country,timestamp,squareImage,worthChange,realTimeWorth,realTimeRank,realTimePosition
,,A. Jayson Adair,Adair,a-jayson-adair,no-pic,,,,,,,TX,Texas,54,Damaged cars,Automotive,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/5fb529400560bf6784deea95/416x416.jpg?background=000000&cropX1=887&cropX2=1362&cropY1=707&cropY2=1183,0.0,1799.76,1684,1684
,,Abhay Soi,Soi,abhay-soi,no-pic,,,,,,,,,50,Healthcare,Healthcare,M,India,1708230002206,https://specials-images.forbesimg.com/imageserve/612e3dde1434aca16b4d05fb/416x416.jpg?background=000000&cropX1=150&cropX2=827&cropY1=0&cropY2=678,0.0,2343.73,1341,1341
,,Abigail Bennett,Bennett,abigail-bennett,no-pic-female,,,,,,,NY,New York,43,Liquor,Food & Beverage,F,United States,1708230002206,,0.0,1013.897,2528,2528
,,Adam Foroughi,Foroughi,adam-foroughi,no-pic,,,,,,,CA,California,43,mobile games,Media & Entertainment,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/6245c84ff87756013a1e176f/416x416.jpg?background=000000&cropX1=1203&cropX2=2416&cropY1=110&cropY2=1322,0.0,1681.57,1775,1775
,,Adam Neumann,Neumann,adam-neumann,adam-neumann,,,,,,,FL,Florida,44,WeWork ,Real Estate,M,Israel,1708230002206,https://specials-images.forbesimg.com/imageserve/640f9728b347b28105216409/416x416.jpg?background=000000&cropX1=0&cropX2=1017&cropY1=150&cropY2=1168,0.0,2174.822,1429,1429
,,Adriaan Mol,Mol,adriaan-mol,no-pic,,,,,,,,,39,Fintech,Technology,M,Netherlands,1708230002206,,0.0,1772.0,1699,1699
,,Adrian Paval,Paval,adrian-paval,no-pic,,,,,,,,,55,Retail,Fashion & Retail,M,Romania,1708230002206,,0.0,1136.364,2371,2371
,,Alan Miller & family,Miller,alan-miller-1,no-pic,,,,,,,PA,Pennsylvania,86,Healthcare services,Healthcare,M,United States,1708230002206,,0.0,1564.367,1879,1879
,,Alan Wilson,Wilson,alan-wilson,no-pic,,,,,,,,,83,Retailing,Fashion & Retail,M,Australia,1708230002206,,0.0,2269.786,1378,1378
,,Albert Avdolyan,Avdolyan,albert-avdolyan,no-pic,,,,,,,,,53,"Oil, mining",Energy,M,Russia,1708230002206,,0.0,2115.237,1465,1465
,,Alberto Bombassei,Bombassei,alberto-bombassei,alberto-bombassei,,,,,,,,,83,Automotive brakes,Automotive,M,Italy,1708230002206,,0.0,2526.853,1251,1251
,,Alberto Prada,Prada,alberto-prada,no-pic,,,,,,,,,69,Luxury goods,Fashion & Retail,M,Italy,1708230002206,,0.0,2255.565,1386,1386
,,Alejandro Baillères Gual & family,Baillères Gual,alejandro-bailleres-gual,no-pic,,,,,,,,,63,Diversified,Diversified,M,Mexico,1708230002206,https://specials-images.forbesimg.com/imageserve/62443652a45fa465e7b19281/416x416.jpg?background=000000&cropX1=1765&cropX2=2862&cropY1=434&cropY2=1530,0.0,7992.01,305,305
,,Ales Zavoral,Zavoral,ales-zavoral,no-pic,,,,,,,,,47,E-commerce,Fashion & Retail,M,Czech Republic,1708230002206,,0.0,1960.738,1576,1576
,,Alex Beard,Beard,alex-beard,alex-beard,,,,,,,,,56,"Mining, commodities",Metals & Mining,M,United Kingdom,1708230002206,//specials-images.forbesimg.com/imageserve/5c7278914bbe6f51818abdca/416x416.jpg?background=000000&cropX1=1150&cropX2=4556&cropY1=15&cropY2=3419,0.178,1897.413,1610,1610
,,Alex Birkenstock,Birkenstock,alex-birkenstock,no-pic,,,,,,,,,55,Shoes,Fashion & Retail,M,Germany,1708230002206,,0.0,1611.159,1832,1832
,,Alex Shevchenko,Shevchenko,alex-shevchenko,no-pic,,,,,,,,British Columbia,44,Software,Technology,M,Canada,1708230002206,https://specials-images.forbesimg.com/imageserve/61a552d47ccd1331f306c32e/416x416.jpg?background=000000&cropX1=798&cropX2=2775&cropY1=171&cropY2=2146,0.0,2243.0,1392,1392
,,Alexander Gerko,Gerko,alexander-gerko,no-pic,,,,,,,,,44,Trading,Finance & Investments,M,United Kingdom,1708230002206,,0.0,8068.597,300,300
,,Alexander Sixt,Sixt,alexander-sixt,no-pic,,,,,,,,,44,Car rentals,Automotive,M,Germany,1708230002206,https://specials-images.forbesimg.com/imageserve/624dda4ada6528aa708fb28a/416x416.jpg?background=000000&cropX1=3&cropX2=769&cropY1=67&cropY2=833,0.0,1698.966,1762,1762
,,Alexis Lê-Quôc,Lê-Quôc,alexis-le-quoc,no-pic,,,,,,,NY,New York,49,Cloud computing,Technology,M,United States,1708230002206,//specials-images.forbesimg.com/imageserve/5ebd9e4a59928a0006430948/416x416.jpg?background=000000&cropX1=669&cropX2=3182&cropY1=420&cropY2=2931,0.0,2766.518,1147,1147
,,Alfred West Jr,West,alfred-west-jr,no-pic,,,,,,,PA,Pennsylvania,81,Money management,Finance & Investments,M,United States,1708230002206,,0.0,1521.878,1921,1921
,,Ali Erdemoglu,Erdemoglu,ali-erdemoglu,no-pic,,,,,,,,,64,Carpet,Manufacturing,M,Turkey,1708230002206,https://specials-images.forbesimg.com/imageserve/606b3801fb2da6f71fd2b915/416x416.jpg?background=000000&cropX1=0&cropX2=958&cropY1=0&cropY2=958,0.0,2690.535,1182,1182
,,Ali Ghodsi,Ghodsi,ali-ghodsi,no-pic,,,,,,,CA,California,45,Data analytics,Technology,M,Sweden,1708230002206,,0.0,1400.0,2057,2057
,,Aloke Lohia,Lohia,aloke-lohia,aloke-lohia,,,,,,,,,65,Petrochemicals,Manufacturing,M,India,1708230002206,//specials-images.forbesimg.com/imageserve/5e782b2cd8e1ae0007b73ae9/416x416.jpg?background=000000&cropX1=379&cropX2=3247&cropY1=82&cropY2=2947,0.0,1407.6,2052,2052
,,Amnon Shashua,Shashua,amnon-shashua,no-pic,,,,,,,,,63,Automotive technology,Automotive,M,Israel,1708230002206,https://specials-images.forbesimg.com/imageserve/6231fa33d87b512598bf3797/416x416.jpg?background=000000&cropX1=677&cropX2=3185&cropY1=0&cropY2=2506,0.0,1547.0,1893,1893
,,Amy Adams Strunk,Adams Strunk,amy-adams-strunk,no-pic-female,,,,,,,TN,Tennessee,68,Tennessee Titans,Sports,F,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/6422072e6869dc7af6557890/416x416.jpg?background=000000&cropX1=0&cropX2=1524&cropY1=125&cropY2=1649,0.0,1621.133,1826,1826
,,An Kang,An,an-kang,an-kang,,,,,,,,Henan,75,Pharmaceuticals,Healthcare,M,China,1708230002206,https://specials-images.forbesimg.com/imageserve/603e8f5d4a2df75cef4fb25a/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,0.0,2419.108,1308,1308
,,Analjit Singh,Singh,analjit-singh,analjit-singh,,,,,,,,,70,diversified,Diversified,M,India,1708230002206,//specials-images.forbesimg.com/imageserve/5a7f04ee31358e4955ad1755/416x416.jpg?background=000000&cropX1=2503&cropX2=4372&cropY1=16&cropY2=1884,0.0,1163.236,2333,2333
,,Anand Deshpande,Deshpande,anand-deshpande,no-pic,,,,,,,,,61,Technology,Technology,M,India,1708230002206,https://specials-images.forbesimg.com/imageserve/612f916cbe677dcb7715be56/416x416.jpg?background=000000&cropX1=324&cropX2=1974&cropY1=103&cropY2=1754,0.0,2479.407,1277,1277
,,Anand Surana,Surana,anand-surana,no-pic,,,,,,,,,52,Pharmaceuticals,Healthcare,M,India,1708230002206,,0.0,1180.365,2307,2307
,,Anant Asavabhokhin,Asavabhokhin,anant-asavabhokhin-1,no-pic,,,,,,,,,73,Real estate,Real Estate,M,Thailand,1708230002206,,0.0,1043.266,2492,2492
,,Andrei Krivenko,Krivenko,andrei-krivenko,no-pic,,,,,,,,,48,Retail,Food & Beverage,M,Russia,1708230002206,,0.0,1417.235,2037,2037
,,Andrei Molchanov,Molchanov,andrei-molchanov,andrei-molchanov,,,,,,,,,52,Construction materials,Construction & Engineering,M,Russia,1708230002206,//specials-images.forbesimg.com/imageserve/5a8092b7a7ea4316901339f7/416x416.jpg?background=000000&cropX1=155&cropX2=1168&cropY1=263&cropY2=1276,0.0,1091.545,2429,2429
,,Andres Bzurovski Bay,Bzurovski Bay,andres-bzurovski-bay,no-pic,,,,,,,,,46,fintech,Finance & Investments,M,Uruguay,1708230002206,,0.0,1086.543,2437,2437
,,Andrew Cherng,Cherng,andrew-cherng-1,no-pic,,,,,,,NV,Nevada,76,Fast food,Food & Beverage,M,United States,1708230002206,https://specials-images.forbesimg.com/imageserve/6515bed632bab4210d8c1944/416x416.jpg?background=000000&cropX1=5&cropX2=1583&cropY1=0&cropY2=1578,0.0,3246.949,962,962
